patient_priority,food_name_en,food_name_hi,category,meal_slots,reference_portion,source_food_name,source_category,calories_per_100g,data_status,nutrition_source,source_note,verified_protein_g_100g,verified_carbs_g_100g,verified_fat_g_100g,verified_fibre_g_100g,verified_sodium_mg_100g
high,Urad Dal (cooked),उड़द दाल,indian_preparation,"lunch,dinner",1 katori (~150g),Urad Dal,Legumes,118,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Legumes,8.0,19.0,0.6,5.0,3
high,Masoor Dal (cooked),मसूर दाल,indian_preparation,"lunch,dinner",1 katori (~150g),Masoor Dal,Legumes,116,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Legumes,9.0,20.0,0.4,4.0,2
high,"Rajma (Kidney Beans, cooked)",राजमा,indian_preparation,"lunch,dinner",1 katori (~150g),Rajma,Legumes,127,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Legumes,8.7,22.8,0.5,6.4,220
high,"Chole (Chickpea curry, light oil)",छोले,indian_preparation,"lunch,dinner",1 katori (~150g),Chana masala,IndianPrep,164,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,7.5,20.0,6.0,6.0,320
medium,"Lobia (Black-eyed Peas, cooked)",लोबिया,indian_preparation,"lunch,dinner",1 katori (~150g),Lobia,Legumes,116,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Legumes,7.7,21.0,0.6,6.5,4
high,Sambar,सांबर,indian_preparation,"lunch,dinner",1 katori (~150g),Sambar,IndianPrep,90,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,3.5,12.0,3.0,3.0,380
medium,Dal Makhani (light),दाल मखनी,indian_preparation,dinner,1 katori (~150g),Dal Makhani,IndianPrep,175,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,6.5,15.0,10.5,4.0,350
high,Dal Tadka,दाल तड़का,indian_preparation,"lunch,dinner",1 katori (~150g),Dal Tadka,IndianPrep,130,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,6.5,17.0,4.0,4.0,280
medium,Rasam,रसम,indian_preparation,"lunch,dinner",1 cup (~150g),Rasam,IndianPrep,35,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,1.2,6.0,0.8,1.5,320
medium,Sprouted Moong Curry (light oil),अंकुरित मूंग,indian_preparation,"lunch,dinner",1 katori (~150g),Sprout curry,IndianPrep,95,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,6.5,13.0,2.0,3.5,180
high,Plain Steamed Rice (white),सादा चावल,grain,"lunch,dinner",1 katori cooked (~150g),Rice cooked,Cereals,121,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Cereals,2.7,25.7,0.4,0.6,1
medium,Bajra Roti (Pearl Millet),बाजरे की रोटी,indian_preparation,dinner,1 medium (~40g),Bajra Roti,IndianPrep,310,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,11.0,61.8,4.2,11.5,5
medium,Jowar Roti (Sorghum),ज्वार की रोटी,indian_preparation,"lunch,dinner",1 medium (~40g),Jowar Roti,IndianPrep,349,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,10.4,72.6,3.3,6.7,4
medium,Ragi Roti (Finger Millet),रागी की रोटी,indian_preparation,dinner,1 medium (~40g),Ragi Roti,IndianPrep,328,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,7.3,72.0,1.3,11.5,11
medium,Missi Roti,मिस्सी रोटी,indian_preparation,dinner,1 medium (~40g),Missi Roti,IndianPrep,297,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,10.0,55.0,4.5,8.0,6
low,"Naan (plain, tandoori)",नान,indian_preparation,dinner,1 piece (~90g),Naan,IndianPrep,310,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,9.0,52.0,7.5,2.0,450
low,Puri (fried),पूरी,indian_preparation,breakfast,1 piece (~30g),Puri,IndianPrep,330,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,5.5,35.0,18.5,1.5,220
low,Bhatura,भटूरा,indian_preparation,lunch,1 piece (~80g),Bhatura,IndianPrep,340,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,7.5,48.0,13.0,1.7,260
medium,"Thepla (Gujarati, light oil)",थेपला,indian_preparation,breakfast,1 piece (~40g),Thepla,IndianPrep,280,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,7.0,42.0,9.0,4.5,180
medium,Makki di Roti (Corn flatbread),मक्की की रोटी,indian_preparation,dinner,1 medium (~50g),Makki Roti,IndianPrep,280,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,6.0,58.0,3.0,5.0,4
medium,"Rava/Suji (Semolina, dry)",सूजी,grain,breakfast,2 tbsp (~30g),Semolina,Cereals,360,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Cereals,10.4,74.8,0.8,2.7,1
medium,"Daliya (Broken Wheat, cooked)",दलिया,indian_preparation,breakfast,1 katori (~150g),Daliya,IndianPrep,96,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,3.4,20.0,0.4,3.5,4
low,Basmati Rice (cooked),बासमती चावल,grain,"lunch,dinner",1 katori (~150g),Basmati Rice,Cereals,121,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Cereals,2.7,25.7,0.4,0.6,1
low,"Samosa (fried, medium)",समोसा,snack,snack,1 piece (~60g),Samosa,Snacks,262,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Snacks,4.0,29.0,15.0,2.5,310
low,Kachori (fried),कचौरी,snack,snack,1 piece (~50g),Kachori,Snacks,280,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Snacks,6.0,31.0,15.0,2.8,300
medium,"Dhokla (steamed, Gujarati)",ढोकला,snack,"breakfast,snack",4 pieces (~100g),Dhokla,Snacks,160,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Snacks,6.0,25.0,4.0,2.0,320
medium,Khaman,खमन,snack,"breakfast,snack",1 cup (~100g),Khaman,Snacks,180,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Snacks,7.0,27.0,5.0,2.2,340
low,Sev (fried gram-flour noodles),सेव,snack,snack,2 tbsp (~30g),Sev,Snacks,520,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Snacks,20.8,34.5,35.5,3.0,600
low,Bhujia,भुजिया,snack,snack,2 tbsp (~30g),Bhujia,Snacks,480,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Snacks,18.0,42.0,28.0,4.0,650
low,Chivda (poha mixture),चिवड़ा,snack,snack,1 cup (~50g),Chivda,Snacks,430,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Snacks,9.5,60.0,17.0,3.0,420
medium,Murukku,मुरुक्कू,snack,snack,4 pieces (~40g),Murukku,Snacks,480,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Snacks,8.0,58.0,24.0,2.5,380
medium,Medu Vada,मेदु वड़ा,indian_preparation,breakfast,1 piece (~40g),Vada,IndianPrep,245,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,7.0,22.0,15.0,3.0,290
medium,Upma,उपमा,indian_preparation,breakfast,1 katori (~150g),Upma,IndianPrep,130,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,3.5,20.0,4.0,2.0,220
medium,Pongal (Ven Pongal),वेन पोंगल,indian_preparation,breakfast,1 katori (~150g),Pongal,IndianPrep,160,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,4.5,26.0,4.5,1.5,180
medium,Uttapam,उत्तपम,indian_preparation,breakfast,1 piece (~100g),Uttapam,IndianPrep,140,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,3.5,22.0,4.0,1.5,200
medium,Rava Idli,रवा इडली,indian_preparation,breakfast,2 pieces (~100g),Rava Idli,IndianPrep,135,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,3.8,24.0,3.0,1.2,210
medium,Sambar Vada,सांबर वड़ा,indian_preparation,breakfast,1 piece (~120g),Sambar Vada,IndianPrep,220,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,6.5,26.0,10.0,3.5,380
medium,Pesarattu (moong dal dosa),पेसरट्टू,indian_preparation,breakfast,1 piece (~100g),Pesarattu,IndianPrep,120,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,6.0,18.0,2.5,3.0,150
medium,Appam,अप्पम,indian_preparation,breakfast,1 piece (~60g),Appam,IndianPrep,120,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,2.0,22.0,2.5,0.6,80
low,Misal Pav (Maharashtrian),मिसळ पाव,indian_preparation,"breakfast,lunch",1 plate (~250g),Misal Pav,IndianPrep,280,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,9.0,38.0,10.0,5.0,480
medium,"Litti Chokha (Bihari, no ghee)",लिट्टी चोखा,indian_preparation,"lunch,dinner",2 pieces + chokha (~200g),Litti Chokha,IndianPrep,300,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,9.0,45.0,9.0,6.0,290
medium,Bisi Bele Bath,बिसी बेले भात,indian_preparation,lunch,1 katori (~180g),Bisi Bele Bath,IndianPrep,180,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,5.5,30.0,4.5,3.0,350
medium,"Undhiyu (Gujarati mixed veg, light oil)",उंधियू,indian_preparation,"lunch,dinner",1 katori (~150g),Undhiyu,IndianPrep,150,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,4.0,18.0,7.0,5.0,220
low,Dal Baati Churma (Rajasthani),दाल बाटी चूरमा,indian_preparation,lunch,1 serving (~200g),Dal Baati Churma,IndianPrep,420,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,10.0,52.0,18.0,5.5,380
medium,"Fish Curry, Bengali (macher jhol)",मछली की झोल,indian_preparation,"lunch,dinner",1 katori (~150g),Macher Jhol,IndianPrep,140,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,15.0,5.0,7.0,1.0,300
medium,"Chicken Curry (home-style, light oil)",चिकन करी,indian_preparation,"lunch,dinner",1 katori (~150g),Chicken Curry,IndianPrep,180,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,18.0,6.0,10.0,1.5,320
medium,Egg Curry,अंडा करी,indian_preparation,"lunch,dinner",1 katori (~150g),Egg Curry,IndianPrep,160,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,10.0,6.0,11.0,1.0,300
medium,Boiled Egg,उबला अंडा,protein,"breakfast,snack",1 large (~50g),Egg boiled,Protein,155,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Protein,13.0,1.1,11.0,0,124
medium,Egg Bhurji (light oil),अंडा भुर्जी,indian_preparation,breakfast,1 serving (~100g),Egg Bhurji,IndianPrep,180,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: IndianPrep,12.0,3.0,13.0,0.5,280
medium,Grilled Fish (light oil),ग्रिल्ड मछली,protein,"lunch,dinner",1 fillet (~100g),Grilled Fish,Protein,140,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Protein,22.0,0.0,5.0,0,90
high,"Curd/Dahi (plain, low fat)",दही,dairy,all_meals,1 katori (~150g),Curd,Dairy,60,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Dairy,3.5,4.7,3.1,0,50
high,"Buttermilk (Chaas, no sugar)",छाछ,beverage,"lunch,dinner",1 glass (~200ml),Buttermilk,Dairy,30,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Dairy,1.5,3.0,1.0,0,90
medium,Lassi (sweet),मीठी लस्सी,beverage,snack,1 glass (~200ml),Lassi,Dairy,150,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Dairy,4.5,22.0,4.5,0,60
high,Paneer (raw),पनीर,dairy,"lunch,dinner",1 cube ~50g,Paneer,Dairy,265,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Dairy,18.3,1.2,20.8,0,22
medium,Toned Milk,टोंड दूध,dairy,breakfast,1 glass (~200ml),Toned Milk,Dairy,58,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Dairy,3.1,4.7,3.0,0,50
medium,Ghee (clarified butter),घी,dairy,all_meals,1 tsp (~5g),Ghee,Dairy,900,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Dairy,0,0,100,0,0
medium,Skimmed Milk,स्किम्ड दूध,dairy,breakfast,1 glass (~200ml),Skimmed Milk,Dairy,35,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Dairy,3.4,5.0,0.2,0,52
medium,Chikoo (Sapota),चीकू,fruit,snack,1 medium (~100g),Chikoo,Fruits,83,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Fruits,0.4,20.0,1.1,5.3,12
medium,Custard Apple (Sitaphal),सीताफल,fruit,snack,1 medium (~120g),Custard Apple,Fruits,101,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Fruits,1.6,25.2,0.3,2.4,4
medium,Jamun (Java Plum),जामुन,fruit,snack,1 cup (~100g),Jamun,Fruits,60,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Fruits,0.7,14.0,0.2,0.6,26
medium,Litchi,लीची,fruit,snack,10 pieces (~100g),Litchi,Fruits,66,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Fruits,0.8,16.5,0.4,1.3,1
medium,Amla (Indian Gooseberry),आंवला,fruit,snack,2 pieces (~40g),Amla,Fruits,44,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Fruits,0.5,10.2,0.1,3.4,1
medium,Ber (Indian Jujube),बेर,fruit,snack,5 pieces (~50g),Ber,Fruits,79,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Fruits,0.8,20.2,0.1,0.6,3
medium,Pomegranate,अनार,fruit,snack,1 cup arils (~100g),Pomegranate,Fruits,83,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Fruits,1.7,18.7,1.2,4.0,3
medium,Muskmelon (Kharbuja),खरबूजा,fruit,snack,1 cup (~150g),Muskmelon,Fruits,34,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Fruits,0.8,8.2,0.2,0.9,16
medium,"Sharifa (see Custard Apple, alt name)",शरीफा,fruit,snack,1 medium (~120g),Sharifa,Fruits,101,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Fruits,1.6,25.2,0.3,2.4,4
medium,Kinnow (Indian Mandarin),किन्नू,fruit,snack,1 medium (~110g),Kinnow,Fruits,47,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Fruits,0.9,11.8,0.2,1.8,2
low,"Gulab Jamun (1 piece, syrup)",गुलाब जामुन,snack,snack,1 piece (~40g),Gulab Jamun,Sweets,150,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Sweets,2.0,20.0,7.0,0.3,20
low,Rasgulla (1 piece),रसगुल्ला,snack,snack,1 piece (~40g),Rasgulla,Sweets,106,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Sweets,2.0,20.0,1.5,0,20
low,Jalebi,जलेबी,snack,snack,2 pieces (~40g),Jalebi,Sweets,150,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Sweets,1.0,29.0,4.0,0.2,15
low,Besan Ladoo,बेसन लड्डू,snack,snack,1 piece (~30g),Besan Ladoo,Sweets,130,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Sweets,3.0,15.0,7.0,0.6,5
low,Boondi Ladoo,बूंदी लड्डू,snack,snack,1 piece (~30g),Boondi Ladoo,Sweets,125,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Sweets,2.5,17.0,5.5,0.4,5
low,Gajar Halwa (light ghee),गाजर का हलवा,snack,snack,1 katori (~100g),Gajar Halwa,Sweets,180,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Sweets,3.0,22.0,9.0,2.0,40
low,Suji Halwa,सूजी का हलवा,snack,snack,1 katori (~100g),Suji Halwa,Sweets,210,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Sweets,3.0,28.0,10.0,0.8,35
low,Kheer (rice pudding),खीर,snack,snack,1 katori (~100g),Kheer,Sweets,130,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Sweets,3.0,20.0,4.0,0.3,40
low,Mysore Pak,मैसूर पाक,snack,snack,1 piece (~30g),Mysore Pak,Sweets,180,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Sweets,2.0,18.0,11.0,0.3,5
low,Modak (steamed),मोदक,snack,snack,1 piece (~30g),Modak,Sweets,120,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Sweets,1.8,20.0,3.5,1.0,5
high,Tea with Milk and Sugar,चाय,beverage,"morning,evening",1 cup (~150ml),Chai,Beverages,65,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Beverages,1.8,9.0,2.5,0,15
medium,Black Coffee (no sugar),ब्लैक कॉफी,beverage,morning,1 cup (~150ml),Black Coffee,Beverages,2,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Beverages,0.1,0.3,0,0,5
high,Nimbu Pani (no sugar),नींबू पानी,beverage,all_meals,1 glass (~200ml),Nimbu Pani,Beverages,10,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Beverages,0.1,2.5,0,0.1,5
medium,Coconut Water,नारियल पानी,beverage,snack,1 glass (~240ml),Coconut Water,Beverages,19,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Beverages,0.7,3.7,0.2,1.1,105
medium,Sugarcane Juice,गन्ने का रस,beverage,snack,1 glass (~200ml),Sugarcane Juice,Beverages,78,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Beverages,0.3,20.0,0,0.2,4
low,Ginger-Garlic Paste,अदरक-लहसुन पेस्ट,spice,all_meals,1 tsp (~5g),Ginger Garlic Paste,Spices,50,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Spices,1.5,10.0,0.3,1.0,3
low,Coriander Chutney (green),हरी चटनी,spice,all_meals,1 tbsp (~15g),Coriander Chutney,Spices,35,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Spices,1.0,4.0,1.8,1.2,90
low,Tamarind Chutney,इमली की चटनी,spice,all_meals,1 tbsp (~15g),Tamarind Chutney,Spices,55,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Spices,0.3,13.0,0.1,0.5,80
low,"Pickle (Achaar, oil-based)",अचार,spice,all_meals,1 tbsp (~15g),Pickle,Spices,95,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Spices,0.5,5.0,8.0,1.0,650
low,Papad (roasted),पापड़,snack,"lunch,dinner",1 piece (~10g),Papad roasted,Snacks,37,source_value_available,India regional nutrition reference (NIN/IFCT-aligned),Expanded regional coverage pass: Snacks,2.5,6.5,0.2,1.0,320
